City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Magadan,RU,76.53,scattered clouds,59.5667,150.8,Magadan hotel
290,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
293,Shepsi,RU,77.09,clear sky,44.0361,39.1489,Otel' Chayka
294,Meadow Lake,US,77.68,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
299,Xacmaz,AZ,89.46,clear sky,41.4635,48.806,Ulduz Hotel
301,Katobu,ID,85.01,scattered clouds,-4.9408,122.5276,La Ode Husein
304,Caucaia,BR,78.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
305,Numata,JP,87.39,scattered clouds,36.6333,139.05,萩原旅館
312,Yichun,CN,81.37,broken clouds,47.7,128.9,锦江酒店
313,Vanimo,PG,83.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
314,Mangrol,IN,82.49,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
318,Price,US,83.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
324,San Policarpo,PH,83.89,broken clouds,12.1791,125.5072,Agapita M. Nicart
326,Nyagan,RU,79.47,broken clouds,62.1406,65.3936,Rainbow Hotel
331,Niquero,CU,78.96,few clouds,20.0431,-77.5828,Islazul Niquero
336,Petropavlovsk-Kamchatskiy,RU,84.79,light rain,53.0452,158.6483,The Hotel Petropavlovsky
341,Srivardhan,IN,80.19,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
344,Tevaitoa,PF,78.08,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
346,Tabriz,IR,78.26,clear sky,38.08,46.2919,Sina Hotel
347,Karratha,AU,76.68,clear sky,-20.7377,116.8463,ibis Styles Karratha
359,Dengzhou,CN,75.29,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
361,Singaparna,ID,79.11,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
362,Zaozerne,UA,76.55,overcast clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
363,Surt,LY,79.32,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
365,Mana,GF,76.21,light rain,5.6592,-53.7767,LE SAMANA
373,Salinopolis,BR,76.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
374,San Patricio,US,84.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
375,Dali,CN,75.61,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
377,Vittoria,IT,75.74,clear sky,36.9537,14.5332,La casa di Jo
378,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
381,Jiayuguan,CN,89.65,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
383,Abalak,RU,81.63,scattered clouds,58.1286,68.5944,Туристический комплекс Абалак
384,Sheridan,US,80.46,clear sky,44.8333,-106.9173,Comfort Inn & Suites
385,Tahta,EG,88.43,few clouds,26.7693,31.5021,فندق الزيات
389,Sorong,ID,81.52,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
391,Kavieng,PG,84.45,broken clouds,-2.5744,150.7967,Nusa Island Retreat
395,Loa Janan,ID,89.15,broken clouds,-0.583,117.095,Kost bu jono
397,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
398,Bo Phloi,TH,79.12,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
400,Robertsport,LR,77.05,moderate rain,6.7533,-11.3686,Kwepunha Retreat
401,Basco,PH,84.76,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
403,Mapimi,MX,80.69,broken clouds,25.8167,-103.85,Propiedad Lldm
