City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Cayenne,GF,2022-07-06 22:16:22,4.9333,-52.3333,81.09,1,36,4.0
236,Meulaboh,ID,2022-07-06 22:20:08,4.1363,96.1285,76.93,87,99,4.81
237,Yangjiang,CN,2022-07-06 22:20:14,21.85,111.9667,79.0,89,99,2.21
238,Hami,CN,2022-07-06 22:20:14,42.8,93.45,74.32,29,13,19.66
239,Utete,TZ,2022-07-06 22:20:15,-7.986,38.758,69.15,91,23,3.24
240,Beloha,MG,2022-07-06 22:20:16,-25.1667,45.05,64.53,81,0,4.61
241,Rio Gallegos,AR,2022-07-06 22:20:16,-51.6226,-69.2181,30.61,83,62,9.15
242,Kodiak,US,2022-07-06 22:20:16,57.79,-152.4072,53.4,94,100,6.82
243,Ust-Nera,RU,2022-07-06 22:20:17,64.5667,143.2,78.55,61,96,7.96
244,Port Lincoln,AU,2022-07-06 22:20:17,-34.7333,135.8667,54.93,63,79,10.63
245,Jaffna,LK,2022-07-06 22:20:18,9.6685,80.0074,83.37,75,100,4.16
246,Pangai,TO,2022-07-06 22:20:18,-19.8,-174.35,75.15,66,79,20.36
247,Doha,QA,2022-07-06 22:20:19,25.2867,51.5333,90.84,60,78,2.06
248,Rockhampton,AU,2022-07-06 22:20:19,-23.3833,150.5,52.92,75,0,3.04
249,Abapo,BO,2022-07-06 22:20:20,-18.8333,-63.4667,79.3,39,13,7.96
250,Kerema,PG,2022-07-06 22:20:20,-7.9631,145.7785,79.03,82,99,2.39
251,Yenagoa,NG,2022-07-06 22:20:21,4.9247,6.2642,75.0,95,100,3.94
252,Cabo San Lucas,MX,2022-07-06 22:20:21,22.8909,-109.9124,95.18,56,2,11.65
253,Inhambane,MZ,2022-07-06 22:19:42,-23.865,35.3833,64.69,73,0,2.37
254,Sangre Grande,TT,2022-07-06 22:20:22,10.5835,-61.1177,85.05,84,65,9.82
255,Cururupu,BR,2022-07-06 22:20:22,-1.8283,-44.8683,74.14,90,19,2.59
256,Henties Bay,NA,2022-07-06 22:20:23,-22.116,14.2845,56.71,78,0,4.99
257,Praia Da Vitoria,PT,2022-07-06 22:20:24,38.7333,-27.0667,66.76,78,97,9.24
258,Poum,NC,2022-07-06 22:20:24,-20.2333,164.0167,77.5,85,61,20.4
259,Punta De Bombon,PE,2022-07-06 22:20:24,-17.1717,-71.7931,61.39,81,15,7.0
260,Leninskoye,KZ,2022-07-06 22:20:25,41.7589,69.3864,69.66,27,8,3.65
261,Kokopo,PG,2022-07-06 22:16:03,-4.352,152.2633,80.29,78,99,6.85
262,Murgab,TM,2022-07-06 22:20:25,37.4966,61.9714,75.52,22,0,10.89
263,Lebu,CL,2022-07-06 22:18:53,-37.6167,-73.65,47.91,73,17,7.2
264,Ust-Koksa,RU,2022-07-06 22:20:26,50.2696,85.6108,49.23,89,28,1.83
265,Lacey,US,2022-07-06 22:15:28,47.0343,-122.8232,74.77,68,89,8.01
266,Nemuro,JP,2022-07-06 22:20:27,43.3236,145.575,54.59,93,90,7.2
267,Saint-Augustin,CA,2022-07-06 22:20:27,51.226,-58.6502,59.36,59,100,1.28
268,Caceres,ES,2022-07-06 22:20:28,39.522,-6.3748,80.71,31,0,7.9
269,Seoul,KR,2022-07-06 22:20:28,37.5683,126.9778,79.21,86,100,4.5
270,Tarabha,IN,2022-07-06 22:20:29,20.7333,83.65,80.38,84,99,3.58
271,Barinitas,VE,2022-07-06 22:20:29,8.7622,-70.4111,76.23,86,89,1.57
272,Mahebourg,MU,2022-07-06 22:17:41,-20.4081,57.7,68.25,62,71,16.62
273,Udgir,IN,2022-07-06 22:20:29,18.3833,77.1167,72.82,87,100,14.65
274,Charters Towers,AU,2022-07-06 22:20:30,-20.1,146.2667,53.15,74,0,6.35
275,Ilhabela,BR,2022-07-06 22:20:31,-23.7781,-45.3581,68.43,68,50,3.96
276,Kyren,RU,2022-07-06 22:20:31,51.6828,102.1408,56.98,92,100,2.19
277,Bundaberg,AU,2022-07-06 22:20:31,-24.85,152.35,59.22,74,0,3.0
278,Fort Nelson,CA,2022-07-06 22:20:37,58.8053,-122.7002,80.06,30,74,10.58
279,Lebork,PL,2022-07-06 22:20:37,54.5392,17.7501,58.91,87,14,8.12
280,Winslow,US,2022-07-06 22:20:37,35.0242,-110.6974,89.78,15,3,8.77
281,Porto Novo,BJ,2022-07-06 22:20:38,6.4965,2.6036,76.17,90,98,5.7
282,Anahuac,MX,2022-07-06 22:20:38,27.2333,-100.15,102.29,20,99,16.98
283,Coxim,BR,2022-07-06 22:20:39,-18.5067,-54.76,75.22,31,97,4.36
284,Coihaique,CL,2022-07-06 22:20:25,-45.5752,-72.0662,31.39,98,75,7.23
285,Hetauda,NP,2022-07-06 22:20:39,27.4284,85.0322,77.65,90,64,4.36
286,Saint-Francois,FR,2022-07-06 22:20:40,46.4154,3.9054,57.67,70,1,1.32
287,Roxana,CR,2022-07-06 22:20:40,10.2753,-83.7513,81.03,93,86,2.35
288,Smithers,CA,2022-07-06 22:16:08,54.7804,-127.1743,63.19,82,100,3.22
289,Gangapur,IN,2022-07-06 22:20:41,26.4833,76.7167,90.99,54,86,0.58
290,Katsuura,JP,2022-07-06 22:20:41,35.1333,140.3,74.08,87,86,14.54
291,Hambantota,LK,2022-07-06 22:20:42,6.1241,81.1185,80.35,76,100,15.82
292,Madhugiri,IN,2022-07-06 22:20:42,13.6606,77.2092,69.44,92,100,11.77
293,Port Blair,IN,2022-07-06 22:20:43,11.6667,92.75,82.09,79,100,10.45
294,San Joaquin,US,2022-07-06 22:20:43,37.9333,-121.3011,83.53,47,0,9.82
